Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,2025-02-20,2025-02-27,2025-03-06,2025-03-13,2025-03-20,2025-03-27,2025-04-03,2025-04-10,2025-04-17,2025-04-24,2025-05-01,2025-05-08,2025-05-15
35,healthy dinners,4,"-20%","3%","-9%",70,83,92,89,81,82,76,81,87,82,80,79,75,74,71,67,70,68,60,64,49,70,63,68,70,68,67,69,70,67,65,63,61,61,56,54,56,48,62,57,51,25,56,53,47,27,82,100,89,76,77,79,65,72,77,74,71,67,68,67,68,65,61,69,65,56
36,healthy dinner recipes for family,4,"-20%","4%","-30%",61,78,83,80,75,75,70,68,82,78,80,81,72,70,73,59,72,73,62,52,42,56,55,57,57,59,56,59,56,48,50,50,48,55,44,44,45,40,63,55,49,22,50,50,39,25,81,100,80,70,77,76,59,,,,,,,,,,,,,
39,healthy food ideas,3,"-10%","-8%","-20%",65,70,77,66,60,68,61,56,81,100,85,55,47,45,47,48,52,48,46,48,39,49,47,47,48,44,41,41,39,37,36,36,36,35,33,31,32,28,38,36,35,24,39,39,38,33,85,81,63,63,57,58,51,,,,,,,,,,,,,
41,healthy soup recipes,3,"-6%","-20%","-10%",27,33,28,26,23,23,23,18,17,13,15,14,12,11,10,9,11,9,8,8,7,9,9,11,13,15,18,22,23,29,40,40,48,50,45,63,52,49,68,60,55,27,66,52,37,23,57,100,63,68,43,35,32,33,28,26,24,23,22,18,15,14,14,14,12,10
42,breakfast ideas healthy,3,"-10%","-9%","40%",35,39,42,38,41,41,51,65,67,64,69,66,70,63,69,53,56,60,64,60,60,56,64,77,63,65,88,87,85,83,84,58,52,57,55,70,69,63,82,75,74,59,72,73,71,67,100,96,74,80,80,80,70,,,,,,,,,,,,,
43,smoothie recipes healthy,3,"-20%","1%","-20%",71,80,88,83,80,84,78,71,80,82,77,80,73,71,76,75,79,82,80,80,69,76,78,72,73,67,68,61,56,53,50,48,46,42,42,41,39,35,40,39,37,28,35,38,36,37,94,100,87,83,82,77,64,65,68,69,70,68,65,62,62,64,64,64,60,57
45,healthy meal ideas,3,"-10%","2%","40%",22,27,34,30,28,30,27,34,100,41,41,41,40,37,39,38,43,41,40,40,33,39,36,36,34,34,38,37,33,32,32,26,24,25,24,34,32,28,30,29,29,18,32,33,29,22,74,68,64,64,57,54,48,,,,,,,,,,,,,
46,healthy ground beef recipes,3,"-10%","20%","-10%",57,71,81,79,73,76,70,65,77,74,70,71,68,60,70,58,68,67,58,63,45,67,62,61,64,62,69,71,67,59,60,57,54,52,47,46,43,40,48,43,42,21,39,38,39,18,52,95,89,72,71,71,62,71,77,74,71,69,71,69,67,66,64,71,64,57
47,healthy pasta recipes,3,"-20%","20%","-10%",75,79,85,88,86,90,86,77,83,81,77,69,72,68,64,63,69,67,61,66,54,66,64,65,64,63,64,67,62,56,62,59,56,52,52,50,49,42,55,46,42,24,41,43,37,23,52,80,77,70,70,66,55,66,75,77,76,74,72,70,68,68,71,72,67,61
48,heart healthy recipes,3,"-8%","10%","-20%",91,94,100,95,89,86,86,78,89,85,87,81,81,75,80,76,80,72,71,76,65,68,68,71,72,73,73,78,77,68,72,75,75,69,68,69,67,63,72,67,65,44,59,65,63,48,77,83,80,76,83,86,78,84,82,78,74,71,71,69,68,67,64,69,67,62
49,healthy snacks recipes,3,"-40%","2%","3%",16,21,23,20,20,20,21,22,21,23,20,19,16,15,21,21,21,19,22,28,32,42,38,74,100,92,63,51,32,27,24,21,21,22,27,27,26,26,28,18,12,8,11,11,9,7,19,26,23,23,20,18,11,,,,,,,,,,,,,
50,healthy banana bread,3,"-10%","50%","-4%",61,79,80,80,76,76,76,63,78,72,73,70,67,62,64,66,64,65,60,63,57,66,61,64,62,67,65,67,70,67,70,61,63,61,57,55,50,48,59,58,51,37,41,43,36,25,47,76,85,87,83,82,72,78,84,84,79,77,76,75,74,71,67,72,68,61
