Rank,Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
9,cycle syncing diet,17,"-20%","8%","-30%",82,75,92,74,61,65,69,76,69,65,77,69,62,59,53,53,52,54,61,55,56,63,59,69,78,65,69,80,78,94,100,80,93,70,54,67,73,56,72,53,59,36,63,63,63,48,86,92,98,90,88,90,68,,,,,,,,,,,,,
15,cycle syncing workouts,13,"3%","10%","-20%",87,77,92,85,75,85,80,69,68,72,65,67,69,67,64,43,55,50,63,51,48,47,46,66,67,72,70,75,68,67,75,63,77,70,54,64,65,46,59,55,48,34,46,58,50,38,73,87,100,78,92,79,81,,,,,,,,,,,,,
