Trend,Normalized volume,Weekly change,Monthly change,Yearly change,2024-02-15,2024-02-22,2024-02-29,2024-03-07,2024-03-14,2024-03-21,2024-03-28,2024-04-04,2024-04-11,2024-04-18,2024-04-25,2024-05-02,2024-05-09,2024-05-16,2024-05-23,2024-05-30,2024-06-06,2024-06-13,2024-06-20,2024-06-27,2024-07-04,2024-07-11,2024-07-18,2024-07-25,2024-08-01,2024-08-08,2024-08-15,2024-08-22,2024-08-29,2024-09-05,2024-09-12,2024-09-19,2024-09-26,2024-10-03,2024-10-10,2024-10-17,2024-10-24,2024-10-31,2024-11-07,2024-11-14,2024-11-21,2024-11-28,2024-12-05,2024-12-12,2024-12-19,2024-12-26,2025-01-02,2025-01-09,2025-01-16,2025-01-23,2025-01-30,2025-02-06,2025-02-13,,,,,,,,,,,,,
fertility foods,100,"-5%","-10%","-20%",72,86,97,82,70,78,81,83,76,72,75,76,70,78,74,66,67,66,69,67,65,83,79,77,82,72,73,74,71,71,70,71,69,74,69,65,65,58,74,59,60,40,67,59,49,49,100,98,87,73,74,65,62,,,,,,,,,,,,,
fertility diet,51,"-3%","-20%","-40%",87,95,98,100,80,99,86,95,98,99,85,90,85,85,81,88,81,70,87,70,74,85,72,64,71,67,73,64,73,72,69,68,53,56,60,66,52,48,64,49,48,35,65,61,49,47,88,77,59,54,60,50,49,,,,,,,,,,,,,
weightlosstips diet,13,"-30%","3%","200%",56,58,68,79,76,78,75,79,82,100,82,87,75,92,82,80,87,75,72,70,75,73,68,62,3,36,14,13,59,71,69,47,36,33,29,66,64,63,78,67,61,41,87,50,38,44,86,66,75,63,60,81,59
